name,url,description,test_type,adaptive_support,remote_support,duration,full_text,keywords
Git Version Control,https://www.shl.com/solutions/products/product-catalog/git-version-control/,"Git workflows, branching strategies, collaboration, and best practices",Knowledge & Skills (K),Yes,Yes,30,"Git Version Control. Git workflows, branching strategies, collaboration, and best practices. Test type: Knowledge & Skills (K). Duration: 30 minutes.","git version control. git workflows, branching strategies, collaboration, and best practices. test type: knowledge & skills (k). duration: 30 minutes."
Agile & Scrum,https://www.shl.com/solutions/products/product-catalog/agile-and-scrum/,"Agile methodologies, Scrum framework, and team collaboration",Knowledge & Skills (K),Yes,Yes,40,"Agile & Scrum. Agile methodologies, Scrum framework, and team collaboration. Test type: Knowledge & Skills (K). Duration: 40 minutes.","agile & scrum. agile methodologies, scrum framework, and team collaboration. test type: knowledge & skills (k). duration: 40 minutes."
Software Testing,https://www.shl.com/solutions/products/product-catalog/software-testing/,"Testing strategies, automation, TDD, BDD, and quality assurance",Knowledge & Skills (K),Yes,Yes,50,"Software Testing. Testing strategies, automation, TDD, BDD, and quality assurance. Test type: Knowledge & Skills (K). Duration: 50 minutes.","software testing. testing strategies, automation, tdd, bdd, and quality assurance. test type: knowledge & skills (k). duration: 50 minutes."
Database Administration,https://www.shl.com/solutions/products/product-catalog/database-administration/,"Database management, optimization, backup, recovery, and security",Knowledge & Skills (K),Yes,Yes,55,"Database Administration. Database management, optimization, backup, recovery, and security. Test type: Knowledge & Skills (K). Duration: 55 minutes.","database administration. database management, optimization, backup, recovery, and security. test type: knowledge & skills (k). duration: 55 minutes."
HTML5 & CSS3,https://www.shl.com/solutions/products/product-catalog/html5-and-css3/,Modern web markup and styling including responsive design,Knowledge & Skills (K),Yes,Yes,35,HTML5 & CSS3. Modern web markup and styling including responsive design. Test type: Knowledge & Skills (K). Duration: 35 minutes.,html5 & css3. modern web markup and styling including responsive design. test type: knowledge & skills (k). duration: 35 minutes.
TypeScript,https://www.shl.com/solutions/products/product-catalog/typescript/,"TypeScript language features, types, interfaces, and advanced patterns",Knowledge & Skills (K),Yes,Yes,40,"TypeScript. TypeScript language features, types, interfaces, and advanced patterns. Test type: Knowledge & Skills (K). Duration: 40 minutes.","typescript. typescript language features, types, interfaces, and advanced patterns. test type: knowledge & skills (k). duration: 40 minutes."
PHP Development,https://www.shl.com/solutions/products/product-catalog/php-development/,"PHP programming, frameworks, and web application development",Knowledge & Skills (K),Yes,Yes,45,"PHP Development. PHP programming, frameworks, and web application development. Test type: Knowledge & Skills (K). Duration: 45 minutes.","php development. php programming, frameworks, and web application development. test type: knowledge & skills (k). duration: 45 minutes."
Ruby Programming,https://www.shl.com/solutions/products/product-catalog/ruby-programming/,Ruby language and Rails framework assessment,Knowledge & Skills (K),Yes,Yes,45,Ruby Programming. Ruby language and Rails framework assessment. Test type: Knowledge & Skills (K). Duration: 45 minutes.,ruby programming. ruby language and rails framework assessment. test type: knowledge & skills (k). duration: 45 minutes.
Go Programming,https://www.shl.com/solutions/products/product-catalog/go-programming/,"Go language fundamentals, concurrency, and system programming",Knowledge & Skills (K),Yes,Yes,45,"Go Programming. Go language fundamentals, concurrency, and system programming. Test type: Knowledge & Skills (K). Duration: 45 minutes.","go programming. go language fundamentals, concurrency, and system programming. test type: knowledge & skills (k). duration: 45 minutes."
Rust Programming,https://www.shl.com/solutions/products/product-catalog/rust-programming/,"Rust systems programming, ownership, safety, and performance",Knowledge & Skills (K),Yes,Yes,50,"Rust Programming. Rust systems programming, ownership, safety, and performance. Test type: Knowledge & Skills (K). Duration: 50 minutes.","rust programming. rust systems programming, ownership, safety, and performance. test type: knowledge & skills (k). duration: 50 minutes."
Scala Programming,https://www.shl.com/solutions/products/product-catalog/scala-programming/,Scala functional and object-oriented programming,Knowledge & Skills (K),Yes,Yes,50,Scala Programming. Scala functional and object-oriented programming. Test type: Knowledge & Skills (K). Duration: 50 minutes.,scala programming. scala functional and object-oriented programming. test type: knowledge & skills (k). duration: 50 minutes.
R Programming,https://www.shl.com/solutions/products/product-catalog/r-programming/,R for statistical computing and data analysis,Knowledge & Skills (K),Yes,Yes,45,R Programming. R for statistical computing and data analysis. Test type: Knowledge & Skills (K). Duration: 45 minutes.,r programming. r for statistical computing and data analysis. test type: knowledge & skills (k). duration: 45 minutes.
MATLAB,https://www.shl.com/solutions/products/product-catalog/matlab/,MATLAB programming for numerical computing and analysis,Knowledge & Skills (K),Yes,Yes,40,MATLAB. MATLAB programming for numerical computing and analysis. Test type: Knowledge & Skills (K). Duration: 40 minutes.,matlab. matlab programming for numerical computing and analysis. test type: knowledge & skills (k). duration: 40 minutes.
SAP Systems,https://www.shl.com/solutions/products/product-catalog/sap-systems/,SAP ERP system knowledge and configuration,Knowledge & Skills (K),Yes,Yes,60,SAP Systems. SAP ERP system knowledge and configuration. Test type: Knowledge & Skills (K). Duration: 60 minutes.,sap systems. sap erp system knowledge and configuration. test type: knowledge & skills (k). duration: 60 minutes.
Salesforce Administration,https://www.shl.com/solutions/products/product-catalog/salesforce-administration/,Salesforce CRM administration and customization,Knowledge & Skills (K),Yes,Yes,50,Salesforce Administration. Salesforce CRM administration and customization. Test type: Knowledge & Skills (K). Duration: 50 minutes.,salesforce administration. salesforce crm administration and customization. test type: knowledge & skills (k). duration: 50 minutes.
Tableau,https://www.shl.com/solutions/products/product-catalog/tableau/,Data visualization and dashboard creation with Tableau,Knowledge & Skills (K),Yes,Yes,40,Tableau. Data visualization and dashboard creation with Tableau. Test type: Knowledge & Skills (K). Duration: 40 minutes.,tableau. data visualization and dashboard creation with tableau. test type: knowledge & skills (k). duration: 40 minutes.
Power BI,https://www.shl.com/solutions/products/product-catalog/power-bi/,Microsoft Power BI for business intelligence and analytics,Knowledge & Skills (K),Yes,Yes,40,Power BI. Microsoft Power BI for business intelligence and analytics. Test type: Knowledge & Skills (K). Duration: 40 minutes.,power bi. microsoft power bi for business intelligence and analytics. test type: knowledge & skills (k). duration: 40 minutes.
Excel Advanced,https://www.shl.com/solutions/products/product-catalog/excel-advanced/,"Advanced Excel including macros, VBA, and complex formulas",Knowledge & Skills (K),Yes,Yes,45,"Excel Advanced. Advanced Excel including macros, VBA, and complex formulas. Test type: Knowledge & Skills (K). Duration: 45 minutes.","excel advanced. advanced excel including macros, vba, and complex formulas. test type: knowledge & skills (k). duration: 45 minutes."
Microsoft Word,https://www.shl.com/solutions/products/product-catalog/microsoft-word/,Advanced Word processing and document management,Knowledge & Skills (K),Yes,Yes,30,Microsoft Word. Advanced Word processing and document management. Test type: Knowledge & Skills (K). Duration: 30 minutes.,microsoft word. advanced word processing and document management. test type: knowledge & skills (k). duration: 30 minutes.
Microsoft PowerPoint,https://www.shl.com/solutions/products/product-catalog/microsoft-powerpoint/,Presentation design and advanced PowerPoint features,Knowledge & Skills (K),Yes,Yes,30,Microsoft PowerPoint. Presentation design and advanced PowerPoint features. Test type: Knowledge & Skills (K). Duration: 30 minutes.,microsoft powerpoint. presentation design and advanced powerpoint features. test type: knowledge & skills (k). duration: 30 minutes.
Project Management Software,https://www.shl.com/solutions/products/product-catalog/project-management-software/,"MS Project, Jira, and project management tools",Knowledge & Skills (K),Yes,Yes,35,"Project Management Software. MS Project, Jira, and project management tools. Test type: Knowledge & Skills (K). Duration: 35 minutes.","project management software. ms project, jira, and project management tools. test type: knowledge & skills (k). duration: 35 minutes."
AutoCAD,https://www.shl.com/solutions/products/product-catalog/autocad/,CAD software for technical drawing and design,Knowledge & Skills (K),Yes,Yes,50,AutoCAD. CAD software for technical drawing and design. Test type: Knowledge & Skills (K). Duration: 50 minutes.,autocad. cad software for technical drawing and design. test type: knowledge & skills (k). duration: 50 minutes.
SolidWorks,https://www.shl.com/solutions/products/product-catalog/solidworks/,3D CAD modeling and engineering design,Knowledge & Skills (K),Yes,Yes,50,SolidWorks. 3D CAD modeling and engineering design. Test type: Knowledge & Skills (K). Duration: 50 minutes.,solidworks. 3d cad modeling and engineering design. test type: knowledge & skills (k). duration: 50 minutes.
Adobe Photoshop,https://www.shl.com/solutions/products/product-catalog/adobe-photoshop/,Image editing and graphic design with Photoshop,Knowledge & Skills (K),Yes,Yes,40,Adobe Photoshop. Image editing and graphic design with Photoshop. Test type: Knowledge & Skills (K). Duration: 40 minutes.,adobe photoshop. image editing and graphic design with photoshop. test type: knowledge & skills (k). duration: 40 minutes.
Adobe Illustrator,https://www.shl.com/solutions/products/product-catalog/adobe-illustrator/,Vector graphics and illustration design,Knowledge & Skills (K),Yes,Yes,40,Adobe Illustrator. Vector graphics and illustration design. Test type: Knowledge & Skills (K). Duration: 40 minutes.,adobe illustrator. vector graphics and illustration design. test type: knowledge & skills (k). duration: 40 minutes.
Video Editing,https://www.shl.com/solutions/products/product-catalog/video-editing/,Video editing software and post-production skills,Knowledge & Skills (K),Yes,Yes,45,Video Editing. Video editing software and post-production skills. Test type: Knowledge & Skills (K). Duration: 45 minutes.,video editing. video editing software and post-production skills. test type: knowledge & skills (k). duration: 45 minutes.
UI/UX Design,https://www.shl.com/solutions/products/product-catalog/ui-ux-design/,User interface and experience design principles,Knowledge & Skills (K),Yes,Yes,50,UI/UX Design. User interface and experience design principles. Test type: Knowledge & Skills (K). Duration: 50 minutes.,ui/ux design. user interface and experience design principles. test type: knowledge & skills (k). duration: 50 minutes.
Graphic Design,https://www.shl.com/solutions/products/product-catalog/graphic-design/,"Visual design principles, typography, and composition",Knowledge & Skills (K),Yes,Yes,45,"Graphic Design. Visual design principles, typography, and composition. Test type: Knowledge & Skills (K). Duration: 45 minutes.","graphic design. visual design principles, typography, and composition. test type: knowledge & skills (k). duration: 45 minutes."
Digital Marketing,https://www.shl.com/solutions/products/product-catalog/view/marketing-new/,"Online marketing strategies, SEO, SEM, and analytics",Knowledge & Skills (K),Yes,Yes,50,"Digital Marketing. Online marketing strategies, SEO, SEM, and analytics. Test type: Knowledge & Skills (K). Duration: 50 minutes.","digital marketing. online marketing strategies, seo, sem, and analytics. test type: knowledge & skills (k). duration: 50 minutes."
Content Marketing,https://www.shl.com/solutions/products/product-catalog/view/digital-advertising-new/,"Content strategy, creation, and distribution",Knowledge & Skills (K),Yes,Yes,40,"Content Marketing. Content strategy, creation, and distribution. Test type: Knowledge & Skills (K). Duration: 40 minutes.","content marketing. content strategy, creation, and distribution. test type: knowledge & skills (k). duration: 40 minutes."
Social Media Marketing,https://www.shl.com/solutions/products/product-catalog/social-media-marketing/,Social media strategy and platform management,Knowledge & Skills (K),Yes,Yes,35,Social Media Marketing. Social media strategy and platform management. Test type: Knowledge & Skills (K). Duration: 35 minutes.,social media marketing. social media strategy and platform management. test type: knowledge & skills (k). duration: 35 minutes.
Email Marketing,https://www.shl.com/solutions/products/product-catalog/email-marketing/,"Email campaign design, automation, and optimization",Knowledge & Skills (K),Yes,Yes,35,"Email Marketing. Email campaign design, automation, and optimization. Test type: Knowledge & Skills (K). Duration: 35 minutes.","email marketing. email campaign design, automation, and optimization. test type: knowledge & skills (k). duration: 35 minutes."
Google Analytics,https://www.shl.com/solutions/products/product-catalog/google-analytics/,"Web analytics, tracking, and data interpretation",Knowledge & Skills (K),Yes,Yes,40,"Google Analytics. Web analytics, tracking, and data interpretation. Test type: Knowledge & Skills (K). Duration: 40 minutes.","google analytics. web analytics, tracking, and data interpretation. test type: knowledge & skills (k). duration: 40 minutes."
SEO Optimization,https://www.shl.com/solutions/products/product-catalog/view/search-engine-optimization-new/,Search engine optimization techniques and strategies,Knowledge & Skills (K),Yes,Yes,40,SEO Optimization. Search engine optimization techniques and strategies. Test type: Knowledge & Skills (K). Duration: 40 minutes.,seo optimization. search engine optimization techniques and strategies. test type: knowledge & skills (k). duration: 40 minutes.
Financial Analysis,https://www.shl.com/solutions/products/product-catalog/view/financial-professional-short-form/,"Financial statement analysis, ratios, and valuation",Knowledge & Skills (K),Yes,Yes,55,"Financial Analysis. Financial statement analysis, ratios, and valuation. Test type: Knowledge & Skills (K). Duration: 55 minutes.","financial analysis. financial statement analysis, ratios, and valuation. test type: knowledge & skills (k). duration: 55 minutes."
Accounting Principles,https://www.shl.com/solutions/products/product-catalog/accounting-principles/,"GAAP, financial accounting, and reporting",Knowledge & Skills (K),Yes,Yes,50,"Accounting Principles. GAAP, financial accounting, and reporting. Test type: Knowledge & Skills (K). Duration: 50 minutes.","accounting principles. gaap, financial accounting, and reporting. test type: knowledge & skills (k). duration: 50 minutes."
Managerial Accounting,https://www.shl.com/solutions/products/product-catalog/managerial-accounting/,"Cost accounting, budgeting, and decision-making",Knowledge & Skills (K),Yes,Yes,50,"Managerial Accounting. Cost accounting, budgeting, and decision-making. Test type: Knowledge & Skills (K). Duration: 50 minutes.","managerial accounting. cost accounting, budgeting, and decision-making. test type: knowledge & skills (k). duration: 50 minutes."
Investment Analysis,https://www.shl.com/solutions/products/product-catalog/investment-analysis/,"Portfolio management, securities analysis, and valuation",Knowledge & Skills (K),Yes,Yes,60,"Investment Analysis. Portfolio management, securities analysis, and valuation. Test type: Knowledge & Skills (K). Duration: 60 minutes.","investment analysis. portfolio management, securities analysis, and valuation. test type: knowledge & skills (k). duration: 60 minutes."
Risk Management,https://www.shl.com/solutions/products/product-catalog/risk-management/,Financial risk assessment and mitigation strategies,Knowledge & Skills (K),Yes,Yes,50,Risk Management. Financial risk assessment and mitigation strategies. Test type: Knowledge & Skills (K). Duration: 50 minutes.,risk management. financial risk assessment and mitigation strategies. test type: knowledge & skills (k). duration: 50 minutes.
Corporate Finance,https://www.shl.com/solutions/products/product-catalog/corporate-finance/,"Capital structure, financing decisions, and valuation",Knowledge & Skills (K),Yes,Yes,55,"Corporate Finance. Capital structure, financing decisions, and valuation. Test type: Knowledge & Skills (K). Duration: 55 minutes.","corporate finance. capital structure, financing decisions, and valuation. test type: knowledge & skills (k). duration: 55 minutes."
Financial Modeling,https://www.shl.com/solutions/products/product-catalog/financial-modeling/,Building financial models and forecasting,Knowledge & Skills (K),Yes,Yes,60,Financial Modeling. Building financial models and forecasting. Test type: Knowledge & Skills (K). Duration: 60 minutes.,financial modeling. building financial models and forecasting. test type: knowledge & skills (k). duration: 60 minutes.
Taxation,https://www.shl.com/solutions/products/product-catalog/taxation/,"Tax principles, planning, and compliance",Knowledge & Skills (K),Yes,Yes,50,"Taxation. Tax principles, planning, and compliance. Test type: Knowledge & Skills (K). Duration: 50 minutes.","taxation. tax principles, planning, and compliance. test type: knowledge & skills (k). duration: 50 minutes."
Auditing,https://www.shl.com/solutions/products/product-catalog/auditing/,"Audit procedures, standards, and internal controls",Knowledge & Skills (K),Yes,Yes,55,"Auditing. Audit procedures, standards, and internal controls. Test type: Knowledge & Skills (K). Duration: 55 minutes.","auditing. audit procedures, standards, and internal controls. test type: knowledge & skills (k). duration: 55 minutes."
Business Strategy,https://www.shl.com/solutions/products/product-catalog/business-strategy/,"Strategic planning, analysis, and execution",Knowledge & Skills (K),Yes,Yes,60,"Business Strategy. Strategic planning, analysis, and execution. Test type: Knowledge & Skills (K). Duration: 60 minutes.","business strategy. strategic planning, analysis, and execution. test type: knowledge & skills (k). duration: 60 minutes."
Market Research,https://www.shl.com/solutions/products/product-catalog/market-research/,"Research methodologies, analysis, and insights",Knowledge & Skills (K),Yes,Yes,45,"Market Research. Research methodologies, analysis, and insights. Test type: Knowledge & Skills (K). Duration: 45 minutes.","market research. research methodologies, analysis, and insights. test type: knowledge & skills (k). duration: 45 minutes."
Supply Chain Management,https://www.shl.com/solutions/products/product-catalog/supply-chain-management/,"Logistics, inventory, and supply chain optimization",Knowledge & Skills (K),Yes,Yes,50,"Supply Chain Management. Logistics, inventory, and supply chain optimization. Test type: Knowledge & Skills (K). Duration: 50 minutes.","supply chain management. logistics, inventory, and supply chain optimization. test type: knowledge & skills (k). duration: 50 minutes."
Operations Management,https://www.shl.com/solutions/products/product-catalog/operations-management/,"Process optimization, quality control, and efficiency",Knowledge & Skills (K),Yes,Yes,50,"Operations Management. Process optimization, quality control, and efficiency. Test type: Knowledge & Skills (K). Duration: 50 minutes.","operations management. process optimization, quality control, and efficiency. test type: knowledge & skills (k). duration: 50 minutes."
Procurement,https://www.shl.com/solutions/products/product-catalog/procurement/,"Purchasing, vendor management, and negotiation",Knowledge & Skills (K),Yes,Yes,40,"Procurement. Purchasing, vendor management, and negotiation. Test type: Knowledge & Skills (K). Duration: 40 minutes.","procurement. purchasing, vendor management, and negotiation. test type: knowledge & skills (k). duration: 40 minutes."
Business Law,https://www.shl.com/solutions/products/product-catalog/business-law/,"Contract law, business regulations, and compliance",Knowledge & Skills (K),Yes,Yes,50,"Business Law. Contract law, business regulations, and compliance. Test type: Knowledge & Skills (K). Duration: 50 minutes.","business law. contract law, business regulations, and compliance. test type: knowledge & skills (k). duration: 50 minutes."
Economics,https://www.shl.com/solutions/products/product-catalog/economics/,Micro and macroeconomics principles and analysis,Knowledge & Skills (K),Yes,Yes,50,Economics. Micro and macroeconomics principles and analysis. Test type: Knowledge & Skills (K). Duration: 50 minutes.,economics. micro and macroeconomics principles and analysis. test type: knowledge & skills (k). duration: 50 minutes.
Statistics,https://www.shl.com/solutions/products/product-catalog/statistics/,"Statistical methods, hypothesis testing, and inference",Knowledge & Skills (K),Yes,Yes,50,"Statistics. Statistical methods, hypothesis testing, and inference. Test type: Knowledge & Skills (K). Duration: 50 minutes.","statistics. statistical methods, hypothesis testing, and inference. test type: knowledge & skills (k). duration: 50 minutes."
Business Analytics,https://www.shl.com/solutions/products/product-catalog/business-analytics/,Data-driven decision making and analytical methods,Knowledge & Skills (K),Yes,Yes,55,Business Analytics. Data-driven decision making and analytical methods. Test type: Knowledge & Skills (K). Duration: 55 minutes.,business analytics. data-driven decision making and analytical methods. test type: knowledge & skills (k). duration: 55 minutes.
